Path	Description	Genes
Osteoblast differentiation	Taken from:Building stronger bones: molecular regulation of the osteoblast lineage by Fanxin Long [https://www.ncbi.nlm.nih.gov/pubmed/22189423]Osteoblast differentiation at a glance, Arkady Rutkovskiy, Kåre-Olav Stensløkken, Ingvar Jarle Vaage [https://www.ncbi.nlm.nih.gov/pubmed/27667570]Development of the endochondral skeleton by Fanxin Long, David Ornitz [https://www.ncbi.nlm.nih.gov/pubmed/23284041].Mesenchymal stem cells can give rise to 4 lineages by expressing corresponding transcriptional regulators: PPARg for adipogenic, MyoD for myogenic, Runx2 for osteoblastic, and Sox9 for chondrocytic lineages. In intramembranous ossification (osteogenesis in the scull and clavicles), preosteoblasts stem directly from mesenchymal stem cells, while in endochondral (osteogenesis of the axial skeleton and the limbs) a common osteo-chondro progenitor gives rise to both cell types.Extracellular signals regulating osteoblast differentiation: Model is based on studies of the mouse limb skeleton. Osteoblasts differentiate from mesenchymal progenitors (MP) through distinct developmental stages marked by expression of key transcription factors including SOX9, RUNX2, and OSX. Mature osteoblasts (OB) can further differentiate to osteocytes (OCY) or bone lining cells (not depicted) or undergo apoptosis (not depicted).Indian hedgehog (IHH) signaling is required for osteoblast differentiation during endochondral bone development. IHH binding to the receptor Patched homolog 1 (PTCH1) activates signaling through Smoothened (SMO), thereby inhibiting the generation of the proteolytically cleaved GLI3 repressor (GLI3R) and promoting the generation of the full-length GLI2 activator (GLI2A). Whereas derepression of GLI3R is sufficient to generate RUNX2+ cells, both derepression of GLI3R and activation of GLI2A are necessary for progression to the RUNX2+OSX+ stage. NOTCH signaling inhibits osteoblast differentiation. Following binding to their ligands, Jagged (JAG) or Delta-like (DLL), Notch receptors are proteolytically cleaved by the g-secretase complex, leading to release of the Notch intracellular domain (NICD) from the plasma membrane. NICD interacts with RBPJk and together they activate downstream target genes, including HES (Hairy and Enhancer of Split) and HEY (HES-related with YRPW motif) family transcription factors, ultimately leading to inhibition of osteoblast differentiation, seemingly at a stage before OSX activation.WNT signaling promotes osteoblast differentiation. During b-catenin-dependent WNT signaling, b-catenin is stabilized following binding of WNT to its receptors Frizzled (FZD) and lipoprotein receptor-related protein 5 (LRP5) or LRP6, leading to the transcription of b-catenin target genes and ultimately stimulating progression from the RUNX2+ stage to the RUNX2+OSX+ stage, and from RUNX2+OSX+ cells to mature osteoblasts. WNTcan also signal independently of LRP5/6 and b-catenin through protein kinase Cd (PKCd), promoting progression to the RUNX2+OSX+ stage through an unknown mechanism.Bone morphogenetic protein (BMP) signaling stimulates osteoblast differentiation and function. Binding of BMP2 or BMP4 to their receptors results in phosphorylation of SMAD1, SMAD5, or SMAD8. These can then form a complex with their partner, SMAD4, and enter the nucleus to regulate gene expression, ultimately promoting the transition to RUNX2+OSX+ cells and enhancing the function of mature osteoblasts; however, a direct role for SMAD signaling in osteoblast differentiation remains to be shown.Fibroblast growth factor (FGF) signaling has diverse roles in osteoblast lineage cells. FGFs function by binding to cell surface Tyr kinase FGF receptors (FGFR1–FGFR4 in humans and mice), leading to the activation of multiple signaling modules. FGF signaling regulates preosteoblast proliferation and osteoblast differentiation, as well as the function of mature osteoblasts. However, the precise stages at which FGFs regulate proliferation and differentiation, and the intracellular signaling cascades responsible for each function, remain to be elucidated. BMPR, BMP receptor; MAPK, mitogen-activated protein kinase; PI3K, phosphoinositide 3-kinase; STAT1, signal transducer and activator of transcription 1.Linked with a dotted arrow to the GeneProduct nodes are diseases caused by mutation in the respective gene.	MYOD1,FZD9,MAPK11,PRKCI,HES2,WNT1,WNT9B,FGF8,FGF9,PIK3R5,NOTCH4,IHH,PIK3C2B,NOTCH1,NOTCH3,WNT11,PIK3CG,WNT8A,SMAD9,MAPK9,PIK3CB,PIK3CD,PPARG,PIK3C3,HES6,FGF3,WNT8B,MAPK12,FZD4,PRKCQ,FGF18,PRKCZ,FZD3,WNT5A,STAT1,LRP6,MAPK14,BMPR1A,RBPJ,FGFR2,DLL4,MAPK10,WNT7B,GLI2,SMAD4,FGF10,FZD5,FZD6,FGF1,PRKCD,FGFR3,JAG2,FGF6,PRKD1,MAPK8,SMAD5,FZD7,PIK3C2G,PRKCH,JAG1,PIK3C2A,MAPK6,FGFR4,WNT7A,MAPK13,PIK3CA,FGF4,PIK3R6,FZD1,PIK3R1,PIK3R4,MAPK7,FZD2,FZD8,PRKCB,BMPR1B,PRKDC,FZD10,DLL1,WNT9A,FGF2,PRKCA,PRKCG,NOTCH2,BMPR2,PTCH1,WNT2B,WNT3,GLI3,WNT3A,PRKCE,SMAD1,BMP4,MAPK3,MAPK1,PIK3R3,WNT6,SOX9,WNT4,WNT10B,FGF5,HEY1,WNT2,DLL3,FGFR1,WNT10A,GeneProduct,MAPK4,SMO,WNT16,RUNX2,HEY2,LRP5,WNT5B,HES3,PIK3R2,FGF7,CTNNB1,BMP2
Cytoplasmic Ribosomal Proteins	The contents of this pathway represents the ribosomal proteins involved in translation.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP477 CPTAC Assay Portal]	RPS24,RPL3L,RPL30,RPL28,RPL22,RPS6KA3,RPL17,RPL41,RPL11,RPLP2,RPL4,RPL18,RPS9,RPL15,RPL19,RPS7,RPS6KA1,RPS6KA2,RPS16,RPL23A,RPL39,RPL37A,RPS6KB2,RPL37,RPL7A,RPS6KB1,RPS4X,RPS17,RPL12,RPL31,RPL23,RPS2,RPL27A,RPS11,RPS23,RPS15A,RPL3,RPS5,RPL36A,RPS21,RPS20,FAU,RPS19,RPL21,RPS29,RPS8,RPS27,RPSA,RPL10A,RPL6,RPS28,RPL7,RPS18,RPL34,RPL35A,RPL35,RPL32,RPLP0,RPL36,RPL13A,RPS3A,RPS26,RPL24,RPL27,RPS27A,RPL38,RPLP1,RPS25,RPL9,RPS3,RPS4Y1,RPS13,UBA52,RPS14,RPS10,RPL8,RPL5,RPS6KA6,RPS6,RPL10,RPS12,RPL18A,RPS15,RPL29,RPL26,RPL14,RPL13,MRPL19
Eicosanoid metabolism via Cytochrome P450 Mono-Oxygenases (CYP) pathway	New PW, homology converted	EPHX2,CYP4F2,CYP4A22,CYP4F12,CYP4A11
Folate Metabolism	The folic acid-centred micronutrient biological network. The most relevant biochemical processes related to folic acid in the context of metabolism, oxidation and inflammation are represented. Also, the compartmental separation (intracellular vs. plasma) is presented, identifying the folic acid centred plasma metabolome.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP176 CPTAC Assay Portal]	FOLR1,NFkB1,NFkB2,MCP1,RELA,FOLR2,FOLR3,SLC46A1,SLC19A1,p53,FOLR4
Initiation of transcription and translation elongation at the HIV-1 LTR	Following cellular activation or drug treatment, NFAT and NF-kB translocate to the nucleus and bind sites at the HIV-1 LTR. NFAT and NF-kB recruit p300/CBP to the LTR, resulting in acetylation of histone tails and transcriptional activation. In the case of NF-kB, proteosomal degradation of IkBa permits NF-kB translocation and displacement of the p50 homodimers. This is followed by Tat- dependent elongation in which Tat recruits the P-TEFb complex to TAR. Cdk9 phosphorylates the CTD of RNA Pol II, resulting in increased processivity. P-TEFb phosphorylates DSIF and NELF, resulting in removal of NELF from Pol II and converting DSIF into a positive elongation factor, thereby promoting productive elongation.Data nodes in blue represent HIV proteins.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP3414 CPTAC Assay Portal]	PPP3CA,HDAC9,NFATC1,SUPT4H1,NELFB,Tat,CBP,HDAC8,PPP3R2,Ubiquitin,HEXIM1,PPP3CB,SP1,NFATC2,HDAC,RELA,HDAC2,RNA Pol II,PPP3CC,HDAC1,NFATC4,HDAC5,NFATC3,IKBA,SUPT5H,p300,Histones,NELFE,PPP3R1,CDK9,NELFA,HDAC3,CycT1,HDAC4,p50,NELFCD,HDAC7
Host-pathogen interaction of human corona viruses - MAPK signaling	This pathway describes the activation of the human MAPK signaling system during human coronavirus infection. The information is based on the review of Fung and Liu, Figure 7 [10.1146/annurev-micro-020518-115759]. The MAPK signaling system is an important system to regulate response to different environmental stimuli, e.g. inflammation upon an infection. Their downstream effects include regulation of cell cycle, apoptosis, differentiation and immune response. During corona virus infection three MAPK signaling pathways were studied and described. The p38 pathway (MAPK11 - 14) leads to stimulation of apoptosis via CHOP (DDIT3) while the ERK pathway (MAPK1 and MAPK3) counteracts apoptosis stimulation and supports cell survival by stimulation of ATF2 and FOS. The JNK pathway (MAPK 8-10) inhibits cell survival protein BCL2 thus stimulating apoptosis but also stimulating the AP1 complex that leads to the production of effectors to fight the infection. The interplay of apoptosis stimulation and cell survival is not yet fully understood in SARS-CoV infection. 	MAP3K10,MAP2K4,JUNB,RPS6KA3,JUN,MAP2K3,MAPK8,MAP2K1,MAP2K7,IFI27,MAP3K1,RPS6KA2,RPS6KA1,MAPK3,MAPK1,BST2,MAPK14,MAP3K4,MAPK10,RAF1,ATF2,EIF4E,MAP2K6,MAPK9,DDIT3,MAPK12,FOS,MAP3K9,MAP3K11,MAPK11,MAP2K2,MAPK13,BCL2
Type II interferon signaling (IFNG)	Adapted from Raza et al. (2008). This pathway is initiated by IFNG binding to its receptor and a subsequent phosphorylation cascade involving a number of the JAK and STAT family of proteins. Several transcriptionally active complexes are formed (STAT1 homodimer, ISGF3 complex, STAT1:STAT1:IRF9 complex) and the pathway culminates with the transcriptional activation of target genes. [1]Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP619 CPTAC Assay Portal]	JAK1,PTPN11,G1P3,IRF8 [P],CXCL9,TAP1,HIST2H4,IFNGR1,IRF8,NOS2A,SPI1,JAK2,ICAM1,IFNB1,PTP,GBP1,IRF1,OAS1,PSMB9,CIITA,G1P2,IFNG,IRF2,STAT1,IFIT2,IRF4,STAT2 [P],IRF9,IFNGR2,HLA-B,SOCS3,EIF2AK2,SOCS1,(ISGF3),PRKCD,STAT1 [P],STAT2,CXCL10,CYBB,IFNA,IL1B
Gastric Cancer Network 2	Network generated by mapping candidate oncogenes and tumor suppressor genes identified by integrated analysis of expression array and aCGH data. Network generated by Ingenuity Pathway Analysis.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP2363 CPTAC Assay Portal]	Basc,CHTF8,SNURF,S100A6,RECCL4,MYC,RAD17,CHTF18,LMNB2,CD48,PLAC8,ATAD2,UBE2T,AHCTF1,RNF144B,LBR,Rfc?,FANCI,CEBPZ,CACYBP,CTNNB1,COL9A3,BRIX1,EGFR,RFC3,TP53,FAM91A1,COL9A1,UBE2C,TOP2A,OTUD5,RFC4,DSCC1,MTDH
Thyroxine (Thyroid Hormone) Production	Thyroxine hormone is produced in the thyroid gland from tyrosine and iodine. Thyrotropin-releasing hormone (TRH) is produced by the hypothalamus. It stimulates the production of thyroid-stimulating hormone (TSH) in the anterior pituitary gland, which affects the thyroid-stimulating hormone receptor (TSHR). Iodine is captured by a hydrogen peroxide trap procuced by thyroid peroxidase and added to the 3' and 5' postitions of tyrosine. This can either be free tyrosine or a tyrosine residue in thyroglobuline. After the multiple iodination steps this produces T3 and T4.The production of the thyroid hormones thyroxine (T4),tri-iodothyronine (T3) and reverse T3 (rT3) is dependent on the organification of iodine into thyroglobulin (Tg), the major protein product of the thyroid (2). This involves thyroid peroxidase catalyzed iodination of tyrosine residues in Tg to form mono- and di-iodotyrosines and their subsequent crosslinking to form the iodothyronines T3 and T4.Iodine 131 is an important radioactive fallout product. It was released in the atmosphere after nuclear tests and after nuclear incidents like at Tchernobyl and Fukushima. Since the iodine is concentrated in the thyroid glant as a substrate for the process described here non-radioactive iodine 127 is given as competitor to people exposed.	TSH,Thyroidperoxidase&#xA;,SLC5A5,TSHR,TRH,Thyruglobulin (Tg)
Follicle Stimulating Hormone (FSH) signaling pathway	The Follicle Stimulating Hormone (FSH) is an anterior pituitary gonadotropin belonging to the family of glycoprotein hormones that includes thyroid stimulating hormone (TSH), Leutinizing Hormone (LH) and Chorionic Gonadotropin. FSH controls the growth and maturation of follicles in the females and spermatogenesis in males. FSH is a heterodimer and shares a common alpha sub-unit with the other glycoprotein hormones in its family and has a specific beta subunit that confers receptor specificity and biological activity to the hormone. FSH acts through the FSH receptor (FSHR), a G protein coupled receptor  that is expressed exclusively on the granulosa cells of ovaries and Sertoli cells of the testis  in humans. FSH signaling involves activation of adenylyl cyclase activity and the increased production of cAMP. This activates the cAMP dependent protein kinases such as PKA, PKB and PKC that, in turn, lead to the phosphorylation of specific transcription factors such as cAMP response element binding protein (CREB) and Forkhead box protein O1 (FOXO1). In addition to activation of PI3K/Akt module, PKA also induces p38 mapk which, in turn, controls other kinase cascades. Activated Akt also induces the mTOR axis that stimulates mRNA translation by phosphorylating p70 S6 kinase and, consequently, the 40 S ribosomal protein S6 that results in the activation of eukaryotic initiation factor (eIF) 4E. It also indirectly aids in the activation of extracellular signal-regulated protein kinases (ERKs). FSH induces important genes required for steroidogenesis as well as growth and maturation of germ cells. The important target genes include aromatase (CYP19A1), the lutenizing hormone receptor (LHR) and the vascular endothelial growth factor (VEGF).Please access this pathway at [http://www.netpath.org/netslim/fsh_pathway.html NetSlim] databaseIf you use this pathway, please cite following paper: Telikicherla, D., Ambekar, A., Palapetta, S. M., Dwivedi, S. B., Raju, R., Sharma, J., Prasad, T. S. K., Ramachandra, Y. L., Mohan, S. S., Maharudraiah, J., Mukherjee, S. and Pandey, A. (2011). A comprehensive curated resource for Follicle Stimulating Hormone signaling. BMC Research Notes. 4, 408.	
Cellular Proteostasis	In order to maintain protein homeostasis and cell function, cells are constantly synthesizing as well as degrading proteins. This is especially important when proteins are misfolded, due to extra- or intracellular stress or a genetic mutation, as this is the basis for many diseases. This pathway shows the major events which are involved in proteostasis.	Hsp90,PFDN1,PFDN5,CHIP,Hsp70,PFDN6,Hsp110,PFDN3,PFDN4,Hsp40,PFDN2
GPCRs, Other	This pathway was created using the GPCRDB (Horn et al., 1998), http://www.gpcr.org/7tm/ (originally at http://www.cmbi.kun.nl/7tm/). The groupings are based on the GPCR phylogenetic tree available from the GPCRDB and the training sets used by Karchin et al. (Bioinformatics, 2002, pg. 147-159). The labels indicate children and grandchildren of the various classes of GPCRs as described by these references.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP117 CPTAC Assay Portal]	OR7E19P,OR5E1P,P2RY11,ADRA1D,OR2B6,GHRHR,UTS2R,OR5D3,IL8RB,CNR1,HSA3,ADORA2A,GRCA,OR1F1,OR1R1P,CCR2,LGR6,OR1N1,OR10A1,GPR73L1,GRM8,Q9H2C7,OR7E18P,EMR2,ADRB2,CELSR1,CELSR3,PTGFR,TAAR3,LPHN2,TAAR5,GPR55,OR1E3P,GPR88,OR1G1,HSA8,Q9UEB1,GPR132,GRM1,HTR7,GPR17,OR7E35P,OR2M4,GPR84,OR3A1,OR8G1,GNRHR,LTB4R2,EBI2,OR3A4,GPR145,GPR56,GPR61,CHRM2,HTR2A,CELSR2,HRH4,OR5D3P,OR2A9P,P2RY13,ADORA3,FY,OR2A4,RLN3R1,DRD3,GPR83,OR7E24,CXCR3,GPR133,GPR143,LPHN3,GPR18,OR2A20P,OR51A1P,HSA1,OR10A2,GRPR,EDG1,DRD4,OR10A5,OR3A3,CCR5,GPR77,P47889,NTSR1,OR2A5,Q9BYT4,OR5-85,MASS1,HTR1F,FSHR,OR1J5,ALG6,GPR116,CHRM3,GPR62,O60411,OR1E1,OR8G2,TAAR2,SSTR2,EMR3,F2R,VN1R1,EDNRA,HSA12,OR2F1,LGR7,GPR135,CCKBR,IL8RA,SMO,GPR,OR2H1,HSA10
Myometrial Relaxation and Contraction Pathways	This pathway illustrates signaling networks implicated in uterine muscle contraction at labor and quiescence throughout gestation (pregnancy). The muscle of the uterus, responsible for contractile activity is the myometrium. Genes in this pathway are either transcribed in myometrial muscle cells or act upon the myometrium to regulate contraction. The left half of this pathway illustrates pathways of myometrial relaxation that are active throughout normal gestation. These signaling events act to suppress coordinated contractions to prevent the early onset of labor at term, largely via activation of the adenylyl-cyclase thrhough G-protein coupled receptors. On the right side of this pathway are signaling componets involved in the activation of uterine contractions at labor, in particular, activation of calcium mobilization via Oxytocin mediated binding to the Oxytocin G-protein coupled receptor. Additional genes implicated in this pathway, based on microarray expression profiling of gestation, term and postpartum of term mice are also included (e.g., Guca2b, Rdc1, Edg2) have also been included. For a detailed description of this pathway see: http://genomebiology.com/2005/6/2/R12.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP289 CPTAC Assay Portal]	PDE4B,ITPR3,GNAQ,PRKCD,ACTC,PRKD1,ARRB1,PRKAR1A,GUCA2B,CNN1,PRKCQ,PRKCB1,GNB3,ATF1,GNG13,GUCA2A,ACTB,GJA1,CREBL1,CAMK2D,ADMR,PRKAR1B,RLN1,PRKAR2A,CALCA,YWHAZ,CMKOR1,RYR1,CAMK2A,GRK5,RGS6,ADCY4,NOS3,ADCY1,CAMK2B,OXTR,GNG7,GNAS,GNG8,RGS5,IL1B,CRH,PRKACB,ADM,RGS2,GNG5,LGR7,PRKAR2B,SP1,CREB3,ADCY9,CALM3,RGS19,GUCY2E,YWHAQ,GNB4,GUCY1A3,ATF4,ADCY6,GNG12,RGS4,OXT,YWHAE,RGS7,ADCY5,RGS20,ATF3,PRKCG,FOS,IGFBP6,NFKB1,GSTO1,PRKCH,PLCG2,RGS18,GNG11,SFN,ATF5,ACTA2,RGS11,JUN,MAFF,MYL4,GABPA,PRKCZ,ITPR1,CALM1,CORIN,IGFBP3,LGR8,ATP2A2,ADCY7,GRK6,CACNB3,YWHAH,RGS10,ETS2,ATF2,ADCY2,IGFBP4,PKIG,MYLK2,PDE4D,RYR3,GRK4,RGS3,YWHAG,ATP2A3,RGS17,YWHAB,PLCD1,GNB1,CRHR1,MYL2,RCP9,CAMK2G,ADCY8,NOS1,ADCY3,RAMP2,IL6,DGKZ,EDG2,RGS14,GNGT1,ACTG1,PRKCE,CNN2,CALM2,GNG3,ARRB2,RYR2,SLC8A1,CREB1,RGS1,RAMP3,ITPR2,PLCB3,ACTA1,GNB5,GNG2,CALD1,IGFBP5,IGFBP1,PRKCA,RGS16,IGFBP2,RAMP1,PKIA,GNB2,PLCG1,GNG4,PKIB,GABPB2,PRKACA,RGS9
Phosphodiesterases in neuronal function	Phosphodiesterases are enzymes which break phosphodiester bonds and play an importan role in signaling pathways, especially in second messenger pathways which involve cyclic AMP or GMP. 	PDE8A,PDE11A,PDE,DRD2,PDE7A,ADCY7,PDE8B,GRIA1,ADCY6,GUCY1A3,GUCY1B2,GRIN2C,GRIN2B,GRIN2A,CHRNA7,ADCY9,GRIN1,PDE1A,PDE?,PKG,ADCY10,PDE7B,DARPP-32,PDE6G,PKA,ADCY3,DRD1,PDE4B,ADCY8,PDE4C,NOS1,PDE6D,PDE10A,PDE3B,PDE9A,PDE3A,GUCY1B3,PDE6B,PDE5A,PDE6C,PDE1B,CREB,PDE2A,AMPA,CaMK&#xA;,PDE6H,ADORA2A,ADCY1,PDE6A,ADCY4,GRIN2D,PDE4D,PDE4A,PDE12,PDE1C,GUCY1A2,ADCY2,ADCY5
Nanomaterial induced apoptosis	Apotosis caused by nanomaterials, such as single-walled carbon nanohorns, titanium oxide, and polystyrene nanoparticles, may be induced through lysosomal impairment. For example, PAMAMs have been found to cause mitochondrial membrane destabilization, and silver and gold nanoparticles are reported to induce ER stress, which may lead to cytochrome c release from mitochondriaProteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP2507 CPTAC Assay Portal]	BAX,FLIP,FAS,FADD,BCL2,AIF,APAF-1,Perforin,SMAC/DIABLO,CASP8,CASP3,IAPs,CASP6,tBID,BAK,CASP7,Cyt C,FASLG,HTRA2/OMI,EndoG,CASP9,DNA
Complement Activation	The complement system is a biochemical cascade that helps, or complements, the ability of antibodies to clear pathogens from an organism. It is part of the immune system called the innate immune system that is not adaptable and does not change over the course of an individual's lifetime. However, it can be recruited and brought into action by the adaptive immune system. The Classical pathway of activation of the complement system is a group of blood proteins that mediate the specific antibody response. [source: Wikipedia]The Classical pathway begins with circulating C1Q binding to an antigen on the surface of a pathogen, which goes on to active and recruit 2 copies of each C1R and C1S, forming a C1 complex. The activated C1 complex cleaves C2 and C4. Activated cleavage products C2A and C4B combine to form  C3 convertase, which cleaves C3. The cleavage product C3B joins the complex to form C5 convertase, which cleaves C5. The cleavage product C5B joins C6, C7, C8 and multiple copies of C9 to form the Membrane Attack Complex, which forms a channel for water to flood into the target cell, leading to osmotic lysis. The Decay accelerating factor (DAF) inhibits C3 convertase.The Lectin pathway involves mannose-binding lectin (MBL) binding the surface of the pathogen instead of C1Q. MBL-associated serine proteases MASP1 and MASP1 can cleave C2 and C4 in place of the C1 complex, leading to the formation of C3 convertase and the subsequent cascade.The Alternative pathway relies on the spontaneous hydrolysis of C3 and the cleavage of factor B (CFB) by factor D (CFD), which form an alternative C3 convertase stabilized by factor P (CFP). Additional copies of the cleavage product C3B are recruited to the complex, resulting in an alternative C5 convertase, which cleaves C5 and contributes C5B to the formation of the Membrane Attack Complex.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP545 CPTAC Assay Portal]	C1QB,C8B,C7,C3,C3B,C5,CFBb,C1QA,C5B,C2,C8G,C2A,CFP,C1S,C4A,C1QG,C8A,MASP1,C9,C1R,CFD,CFB,MASP2,C4B,DAF,C6
